timestamp,open,high,low,close,volume
2025-07-10,2770.74,3001.9,2756.89,2951.64,6428.06571869
2025-07-11,2950.11,3037.11,2915.41,2958.59,3167.01248168
2025-07-12,2957.93,2978.35,2906.3,2945.69,1032.71444458
2025-07-13,2943.4,3017.87,2939.11,2976.28,19191.65566663
2025-07-14,2972.93,3079.82,2963.51,3012.0,3931.38908843
2025-07-15,3013.61,3143.54,2933.39,3140.1,3101.28597812
2025-07-16,3139.51,3422.48,3101.92,3373.97,4060.73241786
2025-07-17,3371.29,3523.87,3314.1,3473.76,2767.44807418
2025-07-18,3477.22,3671.55,3461.4,3545.08,6160.50133776
2025-07-19,3546.21,3603.64,3510.34,3594.38,835.28998316
2025-07-20,3592.16,3821.44,3580.22,3757.38,2696.38616994
2025-07-21,3756.7,3854.61,3702.15,3762.99,3402.01383231
2025-07-22,3762.99,3796.02,3617.61,3748.07,4158.82680845
2025-07-23,3746.54,3760.56,3529.11,3628.48,3855.76077667
2025-07-24,3628.52,3769.8,3513.64,3706.94,3531.86492001
2025-07-25,3707.73,3744.62,3576.41,3728.03,2203.75798486
2025-07-26,3725.25,3791.06,3702.03,3740.69,1202.91681741
2025-07-27,3741.68,3876.68,3731.36,3871.48,1802.85685151
2025-07-28,3872.95,3938.54,3756.82,3794.69,2702.25753534
2025-07-29,3798.98,3883.65,3719.7,3786.26,2376.64185936
2025-07-30,3793.61,3830.75,3673.91,3808.71,1178.12237139
2025-07-31,3809.88,3876.93,3684.6,3695.63,1570.87446566
2025-08-01,3697.91,3721.3,3433.07,3488.84,5640.20913496
2025-08-02,3487.88,3535.65,3369.57,3393.68,3000.28775387
2025-08-03,3393.65,3521.81,3357.0,3497.13,1020.58657346
2025-08-04,3496.8,3733.02,3491.61,3719.65,1150.14773535
2025-08-05,3720.91,3720.92,3549.04,3612.23,1584.94008692
2025-08-06,3612.23,3697.37,3567.1,3683.59,2215.93204665
2025-08-07,3682.64,3924.17,3649.46,3910.1,2431.98403772
2025-08-08,3911.35,4067.3,3881.38,4008.16,6921.43090637
2025-08-09,4009.25,4322.34,4007.84,4260.7,3353.92279669
2025-08-10,4260.77,4328.72,4163.51,4254.18,2903.97039199
2025-08-11,4251.15,4362.1,4167.49,4229.45,5390.62533827
2025-08-12,4223.12,4636.36,4223.12,4590.83,4689.17367205
2025-08-13,4589.48,4780.37,4566.12,4761.54,5724.22571831
2025-08-14,4749.5,4787.86,4444.0,4545.82,7484.92577681
2025-08-15,4548.48,4666.61,4369.0,4435.12,4534.6073993
2025-08-16,4439.74,4488.0,4375.82,4421.92,1189.07873921
2025-08-17,4421.92,4571.55,4398.9,4472.08,2244.03892047
2025-08-18,4472.66,4478.9,4230.09,4311.46,2895.16901764
2025-08-19,4312.82,4348.96,4068.64,4071.48,2865.53722692
2025-08-20,4075.8,4375.86,4066.75,4334.28,3037.3205816
2025-08-21,4337.01,4339.33,4204.83,4226.07,1136.04014277
2025-08-22,4224.84,4882.97,4207.88,4831.0,4240.2667811
2025-08-23,4831.02,4831.02,4665.72,4778.37,1209.65856043
2025-08-24,4778.11,4954.0,4714.02,4779.22,3436.01385153
2025-08-25,4781.43,4796.1,4337.76,4376.58,2802.54243
2025-08-26,4377.44,4631.69,4315.5,4597.43,2064.92021458
2025-08-27,4601.1,4663.51,4484.3,4506.4,1383.16798791
2025-08-28,4507.41,4624.77,4432.53,4509.89,2590.17012485
2025-08-29,4511.36,4512.15,4269.15,4359.83,2837.83785206
2025-08-30,4360.48,4410.81,4260.0,4373.48,746.97332473
2025-08-31,4374.21,4494.31,4373.7,4391.08,843.40890164
2025-09-01,4392.19,4488.19,4215.22,4314.39,1239.44359753
2025-09-02,4314.96,4412.92,4260.18,4325.4,2053.83872676
2025-09-03,4326.89,4486.91,4287.17,4446.24,1397.89078965
2025-09-04,4450.72,4482.49,4268.94,4298.54,879.24210815
2025-09-05,4298.21,4487.0,4259.4,4307.48,1274.52365878
2025-09-06,4307.74,4326.49,4236.51,4271.98,503.11381815
2025-09-07,4273.48,4333.62,4271.31,4303.28,450.00879709
2025-09-08,4305.67,4380.33,4281.8,4308.93,968.23813046
2025-09-09,4305.98,4379.52,4277.9,4308.91,965.27532936
2025-09-10,4310.18,4454.09,4285.91,4349.43,1800.51603942
2025-09-11,4349.92,4477.68,4340.1,4461.57,2795.64659474
2025-09-12,4459.42,4748.69,4452.18,4711.8,1338.47479306
2025-09-13,4712.22,4763.82,4609.77,4667.55,1010.61984009
2025-09-14,4666.55,4688.74,4580.28,4611.85,2644.9298722
2025-09-15,4608.34,4667.66,4468.69,4523.43,1480.34519257
2025-09-16,4524.02,4535.83,4425.43,4503.55,2277.79592625
2025-09-17,4501.96,4613.89,4422.15,4591.55,3270.25696257
2025-09-18,4590.77,4642.1,4557.35,4588.73,1979.1903993
2025-09-19,4588.74,4617.99,4438.87,4461.64,695.11546611
2025-09-20,4469.5,4505.26,4456.96,4479.52,1304.55579304
2025-09-21,4480.69,4498.77,4445.79,4445.79,3924.60061879
2025-09-22,4445.86,4454.43,4047.79,4199.39,4936.27620907
2025-09-23,4199.74,4225.89,4118.88,4164.62,1736.18012822
2025-09-24,4164.25,4203.01,4075.0,4153.65,2975.15107263
2025-09-25,4153.04,4161.1,3825.01,3870.44,3988.43017528
2025-09-26,3875.13,4066.75,3872.96,4032.23,3343.60811112
2025-09-27,4032.48,4039.82,3976.61,4016.35,487.27531873
2025-09-28,4018.46,4143.41,3967.65,4143.41,829.05349658
2025-09-29,4142.98,4232.26,4086.52,4216.45,911.1883553
2025-09-30,4216.02,4242.79,4094.62,4145.65,2960.67059842
2025-10-01,4146.09,4353.65,4127.0,4345.29,1833.10700654
2025-10-02,4349.02,4516.12,4335.69,4485.58,2645.84091676
2025-10-03,4485.31,4588.91,4431.84,4513.89,2334.56321792
2025-10-04,4513.58,4519.07,4443.47,4486.1,2087.58900925
2025-10-05,4487.68,4615.83,4467.41,4514.77,2144.48721956
2025-10-06,4514.85,4731.98,4492.98,4688.65,2667.62867401
2025-10-07,4684.67,4756.29,4434.66,4448.43,1933.00791816
2025-10-08,4448.85,4555.0,4417.37,4527.06,3022.40467688
2025-10-09,4526.34,4530.17,4261.16,4368.7,3345.99574011
2025-10-10,4369.3,4393.39,3408.55,3833.49,9041.33100448
2025-10-11,3832.4,3933.04,3645.46,3746.29,2463.58984258
2025-10-12,3746.89,4196.34,3698.52,4158.33,4800.68939478
2025-10-13,4152.43,4286.79,4037.06,4241.18,2940.5795282
2025-10-14,4241.17,4258.64,3888.54,4121.72,4350.34005097
2025-10-15,4124.72,4210.98,3932.14,3986.32,2649.77011389
2025-10-16,3986.33,4082.56,3826.87,3894.9,2294.99159939
2025-10-17,3894.9,3950.07,3678.98,3831.53,1801.33379893
2025-10-18,3831.72,3926.23,3821.26,3888.27,529.13732456
2025-10-19,3888.83,4025.19,3828.23,3985.61,1276.308305
2025-10-20,3982.85,4081.51,3912.48,3980.63,1112.17687177
2025-10-21,3979.79,4108.22,3841.77,3874.78,1290.57981248
2025-10-22,3873.42,3886.41,3712.48,3808.72,1303.50224295
2025-10-23,3805.58,3931.57,3797.47,3856.04,1205.18772689
2025-10-24,3857.61,4023.34,3848.65,3932.99,992.76801672
2025-10-25,3935.0,3967.11,3916.66,3952.43,217.33212739
2025-10-26,3953.63,4176.5,3921.0,4158.56,638.97660891
2025-10-27,4158.52,4250.0,4098.21,4119.71,1499.86094159
2025-10-28,4120.38,4173.66,3935.29,3981.0,1787.17680529
2025-10-29,3980.51,4032.96,3844.31,3904.84,1409.82578532
2025-10-30,3903.25,3947.36,3681.8,3803.87,2440.97234009
2025-10-31,3805.69,3907.84,3798.75,3850.08,919.08216046
2025-11-01,3848.13,3880.66,3834.33,3876.07,382.40697609
2025-11-02,3873.4,3914.68,3844.44,3914.68,1103.9711843
2025-11-03,3906.39,3910.79,3562.78,3603.82,2429.1768386
2025-11-04,3603.3,3650.97,3060.0,3299.01,4279.50378928
2025-11-05,3286.95,3478.95,3170.78,3424.5,2018.98441132
2025-11-06,3424.97,3454.26,3245.84,3313.93,1969.70390609
2025-11-07,3315.52,3487.26,3185.84,3435.68,10414.37032952
2025-11-08,3436.69,3485.48,3359.07,3401.11,488.68204446
2025-11-09,3401.52,3616.72,3361.0,3583.01,1215.86181272
2025-11-10,3583.65,3657.48,3509.0,3570.59,857.26483763
2025-11-11,3568.02,3648.5,3405.82,3418.76,3161.75197953
2025-11-12,3418.43,3586.34,3373.08,3414.52,1044.08944613
2025-11-13,3415.81,3563.5,3156.68,3235.76,1954.42310908
2025-11-14,3232.7,3253.41,3075.0,3103.54,2258.80526451
2025-11-15,3113.17,3229.7,3110.5,3167.93,1420.179134
2025-11-16,3168.16,3246.16,3008.16,3096.01,1967.45083145
2025-11-17,3096.04,3222.16,2958.43,3029.0,1435.15281192
2025-11-18,3029.57,3170.88,2946.84,3123.66,2094.24835707
2025-11-19,3123.46,3123.97,2874.83,3027.7,1917.08469365
2025-11-20,3025.68,3060.89,2790.15,2837.84,2301.31911861
2025-11-21,2834.32,2883.16,2626.55,2765.72,3112.53608396
2025-11-22,2766.15,2797.14,2705.6,2770.63,1290.35912742
2025-11-23,2770.63,2856.76,2769.24,2801.78,768.26057594
2025-11-24,2802.19,2984.14,2765.54,2953.77,1432.42933725
2025-11-25,2953.71,2977.55,2859.02,2959.57,2045.26378538
2025-11-26,2959.52,3044.58,2892.4,3027.83,1653.16131835
2025-11-27,3027.84,3068.21,2988.0,3015.99,2927.17345995
2025-11-28,3015.98,3097.2,2997.98,3032.8,1624.0982577
2025-11-29,3032.01,3049.57,2962.0,2991.87,2256.04936823
2025-11-30,2989.68,3050.53,2979.0,2992.02,717.46053621
2025-12-01,2992.58,3000.0,2721.85,2800.16,2699.0146379
2025-12-02,2799.47,3034.04,2784.82,2996.73,1382.41801248
2025-12-03,2996.22,3213.8,2985.67,3188.89,4708.68410239
2025-12-04,3188.99,3238.53,3070.45,3134.48,2139.22516247
